,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls,idx
6125,6Vmtv9SwSTzIWmmZlm902o,Flamingo,36,180587,0,['Stéphane Grappelli'],1969-09-30,0.399,0.228,2,-19.521,1,0.036,0.713,0.000446,0.354,0.333,99.77,3,https://i.scdn.co/image/ab67616d0000b273b4ed7d2eb51946fe577d0935,https://open.spotify.com/track/6Vmtv9SwSTzIWmmZlm902o,1481
24635,1k1kg1xFTxodz5bhh1WIG3,La Cheyene del Año,58,180427,0,['Banda El Recodo'],1994-03-11,0.618,0.407,8,-9.504,1,0.0347,0.582,0.0,0.151,0.974,106.583,1,https://i.scdn.co/image/ab67616d0000b2730794f1689a8147fb6aaafc46,https://open.spotify.com/track/1k1kg1xFTxodz5bhh1WIG3,1481
24784,1VZ68quNUGK1uQpjFEezv4,Te Lo Pido por Favor,54,185187,0,['Banda El Recodo'],1994-03-11,0.609,0.421,8,-9.02,1,0.0269,0.686,6.79e-06,0.0955,0.858,102.811,4,https://i.scdn.co/image/ab67616d0000b2730794f1689a8147fb6aaafc46,https://open.spotify.com/track/1VZ68quNUGK1uQpjFEezv4,1481
24954,0i2ivIlhyo2pJsHVKJCWlb,Te Voy a Olvidar,50,178707,0,['Banda El Recodo'],1994-03-11,0.694,0.372,0,-11.675,1,0.0501,0.515,0.0,0.0899,0.973,101.352,3,https://i.scdn.co/image/ab67616d0000b273e555fc16bd1b761f6a53b26f,https://open.spotify.com/track/0i2ivIlhyo2pJsHVKJCWlb,1481
24965,0W01Grk8pbWN1354wf4UvG,La Diferencia,50,193827,0,['Banda El Recodo'],1994-03-11,0.516,0.404,7,-11.746,1,0.0372,0.19,7.41e-06,0.0994,0.68,86.944,4,https://i.scdn.co/image/ab67616d0000b273e555fc16bd1b761f6a53b26f,https://open.spotify.com/track/0W01Grk8pbWN1354wf4UvG,1481
25010,0dUGmwjvHXmuPREv0xfdTC,Entierrenme con La Banda,50,156787,0,['Banda El Recodo'],1994-03-11,0.696,0.484,8,-8.713,1,0.039,0.552,0.0,0.265,0.979,107.394,4,https://i.scdn.co/image/ab67616d0000b273e555fc16bd1b761f6a53b26f,https://open.spotify.com/track/0dUGmwjvHXmuPREv0xfdTC,1481
25130,7nwqaGHYZM0g6R4ecp48TU,Vicio,48,166733,0,['Reincidentes'],1994-08-09,0.576,0.895,2,-6.761,0,0.0467,0.00124,0.000189,0.342,0.676,104.182,4,https://i.scdn.co/image/ab67616d0000b273b2ec9609e83fcceeb9d4af5c,https://open.spotify.com/track/7nwqaGHYZM0g6R4ecp48TU,1481
25965,6f7Cmriq3HZQYDc7dzMaxb,Vida Prestada - En Vivo,47,164627,0,['Banda El Recodo'],1995-03-11,0.579,0.62,5,-10.909,1,0.0521,0.712,0.000214,0.905,0.961,103.377,3,https://i.scdn.co/image/ab67616d0000b273baf3de01cab4f95416df6cc8,https://open.spotify.com/track/6f7Cmriq3HZQYDc7dzMaxb,1481
27157,3mFqOvXj4w2rh8pAlacsHv,Que Solo Estoy Sin Ti,54,219080,0,['Banda El Recodo'],1997-01-01,0.519,0.381,0,-10.269,1,0.0315,0.522,0.0,0.184,0.627,92.167,4,https://i.scdn.co/image/ab67616d0000b273a834dd10c125d9e76eeddf91,https://open.spotify.com/track/3mFqOvXj4w2rh8pAlacsHv,1481
28026,7c9sDyogsPK8XUAubCK69Y,Vicio,53,172933,0,['Reincidentes'],1998-10-02,0.421,0.897,2,-6.964,0,0.0433,0.212,0.00103,0.972,0.519,109.982,4,https://i.scdn.co/image/ab67616d0000b273fc734fdaa19a4f0b7fa8c81f,https://open.spotify.com/track/7c9sDyogsPK8XUAubCK69Y,1481
