,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,images,urls
2331,Party Fears Two,40,335800,0,['The Associates'],1982-05-14,0.597,0.874,7,-6.573,1,0.0665,0.0528,7.93e-05,0.0575,0.58,128.556,4,https://i.scdn.co/image/ab67616d0000b273010ec35c86d97b89c9083d92,https://open.spotify.com/track/6PN5Z4X40NqaM1WwhJGL73
2331,Heavy Heart,50,191600,0,['You Am I'],1998-05-25,0.7,0.35,0,-11.343,1,0.0295,0.782,0.0,0.116,0.117,113.059,4,https://i.scdn.co/image/ab67616d0000b27366de380bef90f726e72b65ae,https://open.spotify.com/track/5pPftjklQPooJBlE6WOQjk
2331,Disfruto Lo Malo,75,187353,0,"['Junior H', 'Natanael Cano']",2019-10-31,0.68,0.633,6,-6.861,0,0.0317,0.518,0.0,0.103,0.707,109.743,3,https://i.scdn.co/image/ab67616d0000b273cda237a502031f4caa2c1bde,https://open.spotify.com/track/7LH2UUuyMHt7035PLZQ8wx
2331,Mente Positiva,76,192391,1,['Junior H'],2020-03-27,0.576,0.604,5,-7.558,0,0.047,0.27,0.0,0.176,0.734,99.746,3,https://i.scdn.co/image/ab67616d0000b2739c076fb69a52578d6441d57e,https://open.spotify.com/track/3WQilym5Vi4ypxb70vx0eY
2331,Så skimrande var aldrig havet,31,122733,0,['Sven-Bertil Taube'],1989,0.31,0.161,2,-17.447,1,0.037,0.964,0.132,0.107,0.229,86.835,4,https://i.scdn.co/image/ab67616d0000b2731198d2f05715ff2e2584b61b,https://open.spotify.com/track/2wrwIsPRwSukXvdqMYfV67
2331,Modelo De La Noche,31,303573,0,['Luisito Carrion'],1995,0.817,0.659,11,-5.053,0,0.0423,0.448,1.79e-05,0.131,0.654,89.442,4,https://i.scdn.co/image/ab67616d0000b273ab027eabe488d5af08c912ca,https://open.spotify.com/track/0akrRNN2RTbH9wBygjlYIF
2331,Como el Sol 2011,50,283840,0,['Kase.O'],2011-12-05,0.812,0.579,2,-8.124,1,0.187,0.176,0.0,0.219,0.737,93.004,4,https://i.scdn.co/image/ab67616d0000b273c3921a51e8369f998ec79813,https://open.spotify.com/track/3NkIrWA31m4VO4Z9BW61yo
2331,Renacimiento,52,260787,0,['Kase.O'],2011-12-05,0.773,0.536,1,-9.654,1,0.0692,0.163,0.0,0.218,0.744,98.034,4,https://i.scdn.co/image/ab67616d0000b273c3921a51e8369f998ec79813,https://open.spotify.com/track/5MFqzWaYBe7Es4CHk66Iy3
2331,Mitad y Mitad (con Najwa),57,331933,0,"['Kase.O', 'Najwa']",2016-09-23,0.941,0.46,7,-11.474,1,0.181,0.0951,0.000129,0.0686,0.598,120.0,4,https://i.scdn.co/image/ab67616d0000b273bc81387c8a0832745989f02a,https://open.spotify.com/track/6kPwvezY3O4b0KZEUukgyc
2331,"Pavos Reales (con Hermano L, Shabu One Shant y Mcklopedia)",58,271733,0,"['Kase.O', 'Hermano L', 'Shabu One Shant', 'McKlopedia']",2016-09-23,0.837,0.519,11,-6.765,0,0.409,0.139,0.0,0.0561,0.879,82.935,4,https://i.scdn.co/image/ab67616d0000b273bc81387c8a0832745989f02a,https://open.spotify.com/track/4HVYBeELSvhfGmWwFoZr4p
